               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11461,            0.014161,                   0,           0.0027273,             0.81818,            0.013401,           0.0022633,             0.12019,            0.011323,                   0,              0.0829,              0.0019,              0.0019
                   1,             0.10593,            0.015568,                   0,             0.24666,             0.36364,             0.20796,            0.097258,            0.083295,            0.014756,                   0,            0.064514,           0.0035139,           0.0035139
                   2,             0.10284,            0.016712,                   0,               0.665,             0.27273,             0.34961,             0.12159,            0.088354,            0.013978,                   0,            0.045732,           0.0047318,           0.0047318
                   3,            0.099155,            0.019762,                   0,            0.077283,             0.36364,              0.1407,            0.029576,            0.086376,            0.014474,                   0,            0.026554,           0.0055537,           0.0055537
                   4,            0.098869,            0.017957,                   0,            0.077283,             0.36364,              0.1407,            0.029576,            0.086376,            0.014474,                   0,           0.0069796,           0.0059796,           0.0059796
                   5,            0.093738,            0.019582,                   0,             0.32486,             0.35092,             0.20017,             0.03747,            0.086118,            0.013896,                   0,             0.00505,             0.00505,             0.00505
                   6,            0.092128,             0.02075,                   0,             0.32486,             0.35092,             0.20017,             0.03747,            0.086118,            0.013896,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.088038,            0.019861,                   0,             0.14304,            0.090909,              0.1552,            0.039667,            0.087347,            0.013257,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.086271,            0.020488,                   0,             0.20553,            0.090909,             0.16812,            0.052613,            0.073129,            0.015476,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.091753,            0.021517,                   0,             0.20553,            0.090909,             0.16812,            0.052613,            0.073129,            0.015476,                   0,             0.00208,             0.00208,             0.00208
