               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12052,            0.013232,                   0,           0.0027273,             0.81818,           0.0079833,           0.0014307,             0.12254,            0.010557,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11684,            0.014772,                   0,           0.0090889,            0.090909,            0.024968,           0.0042291,             0.11037,            0.011924,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.10905,            0.015346,                   0,             0.27345,             0.45455,             0.20405,            0.067576,            0.087777,            0.014027,                   0,            0.087372,           0.0013723,           0.0013723
                   3,             0.10117,            0.017789,                   0,             0.42106,             0.54545,             0.38176,             0.11762,             0.08739,            0.014209,                   0,            0.082844,           0.0018436,           0.0018436
                   4,            0.096452,            0.018129,                   0,             0.56657,             0.54545,             0.55571,             0.15242,            0.082789,            0.014317,                   0,            0.078305,            0.002305,            0.002305
                   5,            0.091159,            0.020086,                   0,              0.7485,             0.63636,             0.63429,             0.18869,            0.078614,            0.014474,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.085709,            0.017462,                   0,             0.38962,             0.58161,             0.32611,             0.13472,            0.072595,            0.014474,                   0,            0.069198,            0.003198,            0.003198
                   7,            0.081643,            0.022626,                   0,             0.43247,             0.63636,             0.38298,             0.16812,            0.075204,            0.013727,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.080378,            0.019958,                   0,             0.32812,             0.63636,             0.27116,             0.14205,            0.070233,            0.014161,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.074636,            0.020647,                   0,             0.45177,             0.63636,             0.48104,               0.206,            0.072954,            0.012596,                   0,            0.055463,           0.0044634,           0.0044634
                  10,             0.07923,            0.019493,                   0,              0.4136,             0.54545,              0.4507,             0.20691,             0.06889,            0.012851,                   0,            0.050865,           0.0048654,           0.0048654
                  11,            0.077088,            0.018271,                   0,              0.8559,             0.63636,             0.76594,             0.22052,            0.077288,            0.011583,                   0,            0.046257,           0.0052575,           0.0052575
                  12,            0.073652,            0.022407,                   0,             0.76894,             0.63636,             0.75134,             0.26831,            0.074279,            0.011132,                   0,             0.04164,           0.0056397,           0.0056397
                  13,            0.077212,            0.017889,                   0,             0.76894,             0.63636,             0.75134,             0.26831,            0.074279,            0.011132,                   0,            0.037012,            0.006012,            0.006012
                  14,            0.072779,            0.020019,                   0,              0.7455,             0.63636,             0.77067,             0.40318,             0.06505,            0.011648,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.065035,            0.017011,                   0,             0.78849,             0.68019,             0.81546,             0.44689,            0.059267,            0.013713,                   0,            0.027727,           0.0067268,           0.0067268
                  16,            0.066213,            0.016639,                   0,             0.80628,             0.54545,             0.62781,              0.1731,            0.088931,            0.010006,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.079801,            0.019159,                   0,             0.80628,             0.54545,             0.62781,              0.1731,            0.088931,            0.010006,                   0,            0.018402,           0.0074021,           0.0074021
                  18,            0.077284,             0.01608,                   0,              0.3784,             0.72727,              0.5184,             0.14345,            0.080001,            0.010812,                   0,            0.013725,           0.0077249,           0.0077249
